Age;Playing Time_Min
24;86
18;170
25;1965
26;1409
22;1097
27;1410
18;6
27;2995
23;3109
26;1438
29;2014
29;678
21;10
21;764
25;2365
31;2508
30;157
;2
26;1772
19;1
17;346
18;28
18;8
28;90
28;2583
21;2728
23;2472
34;836
24;141
22;497
23;1441
31;2260
28;2013
27;1248
17;48
29;2790
28;743
25;90
26;416
20;1965
32;21
32;1638
23;334
26;1139
20;2661
30;581
26;1755
24;3074
26;360
28;2531
22;331
26;1677
27;1645
31;180
26;2224
18;1212
21;2482
26;1534
28;184
27;1408
21;16
20;476
33;150
24;412
27;2973
21;754
22;2511
26;1075
25;449
26;702
22;334
27;960
27;98
25;1687
19;1523
28;1541
32;3330
29;926
21;7
22;3351
33;628
24;1959
22;983
27;1609
31;830
21;455
32;1494
19;1
26;2070
22;20
28;1649
25;1060
25;910
27;857
20;45
26;108
27;259
24;7
26;131
29;2117
23;379
23;1181
33;483
31;1714
35;215
23;3420
20;179
21;3149
27;2978
27;72
31;1067
25;109
34;824
26;2988
24;351
25;2597
25;736
25;2814
24;2911
23;275
18;11
25;842
31;1331
24;2743
34;971
33;1702
31;744
21;2593
22;2586
20;507
25;264
22;1901
27;2271
27;2399
18;1874
31;2351
27;1339
26;490
26;364
19;90
21;66
32;2109
22;1516
26;1963
19;842
19;14
31;2564
24;452
25;2151
22;488
22;1252
35;900
32;2083
20;638
18;6
30;2320
26;2
26;115
26;29
21;65
21;12
22;2501
21;371
18;42
20;869
20;294
31;273
32;1061
19;138
26;2402
24;2319
15;24
36;315
26;2588
39;1160
26;2815
20;579
24;369
19;156
19;246
29;3018
20;2909
23;2947
31;3275
24;1777
23;1172
20;239
36;630
20;55
30;306
19;165
31;790
25;1935
34;3063
21;318
20;2199
23;1594
18;183
24;2803
23;98
26;159
21;24
18;1
23;2974
21;810
25;2614
21;516
27;519
22;760
23;2434
22;3160
18;1751
28;721
23;2205
20;687
23;143
27;995
24;3059
18;150
26;3271
18;73
33;2223
21;1862
22;3277
24;2736
19;2189
22;134
28;45
27;2076
22;2825
25;1875
17;170
24;2958
28;661
27;3420
27;99
24;2385
32;2110
22;448
19;1842
25;661
27;6
15;7
23;2194
29;2108
19;2427
20;2583
21;2004
26;961
32;284
21;574
24;166
24;2756
28;2981
23;2220
24;1063
26;2254
23;12
20;119
28;862
27;608
33;2494
19;30
22;1948
27;2393
24;1354
23;2177
31;630
23;1712
32;704
27;1196
26;2912
22;540
24;385
27;1564
24;1726
17;14
20;528
31;1049
25;900
25;303
20;3336
20;2182
20;503
27;3348
17;130
29;1
21;540
24;1122
25;2340
25;2560
26;2936
30;2198
18;13
29;342
23;2590
24;2389
24;3116
36;361
23;860
19;11
20;797
30;1364
32;3420
29;2274
19;1893
23;3093
17;1369
24;2123
18;70
30;704
24;1239
21;2840
26;798
27;2344
29;270
31;201
22;1139
25;2599
27;1809
22;2033
26;2363
23;119
31;1758
19;1651
24;100
25;305
16;2
26;1261
28;1462
30;168
25;1175
23;2290
31;3194
26;1751
21;1913
27;2648
26;1615
26;2045
26;2838
24;3414
21;349
22;852
34;450
29;2223
24;1371
27;19
34;183
18;5
28;1586
16;1
26;3330
18;313
38;170
31;1120
20;1838
24;3092
27;2603
25;11
15;112
16;366
23;907
31;955
32;2751
23;441
25;622
19;28
23;151
28;1078
23;964
28;3228
25;1620
22;3188
29;2360
25;3082
24;2430
27;2324
18;126
24;3
24;487
35;180
24;2269
25;1034
26;921
18;12
25;1674
25;1133
17;895
30;2819
23;1571
23;938
25;3122
16;165
19;850
27;238
23;1125
34;226
22;1617
28;3060
30;1050
26;25
18;49
31;1100
20;134
22;2005
19;528
27;1170
22;3191
29;2113
26;2380
31;2797
22;347
28;2013
30;388
28;1237
22;332
22;474
30;3420
31;1913
28;48
20;1
32;2520
24;2610
21;495
26;2700
23;1623
26;978
26;444
28;3420
29;108
18;1
27;196
18;1
21;90
25;2825
24;1922
27;504
30;2482
26;3167
17;137
28;73
30;1149
25;1101
22;3114
26;1416
22;1656
31;2609
22;1729
32;3371
23;3039
26;2880
24;1764
26;590
32;814
22;9
26;2711
20;1766
18;665
20;34
22;2293
32;2934
31;103
20;755
32;3420
30;2886
24;3203
27;1106
24;580
29;349
19;1
29;2670
24;854
18;30
18;96
25;236
23;1129
24;690
33;1590
24;2043
26;2201
27;1409
19;11
24;295
29;2567
25;2171
23;1792
21;1
33;180
30;1389
29;499
28;389
23;900
30;548
24;2587
24;1557
22;1402
22;786
28;992
23;2491
28;21
31;2922
25;1939
30;356
26;860
19;911
28;1774
23;175
23;1110
27;3026
27;259
23;2417
24;1825
28;137
25;7
24;2630
27;2020
31;335
28;1772
22;1
25;450
21;4
33;1309
29;2546
28;837
26;1710
21;1924
23;1785
20;1655
27;345
22;145
33;3330
37;2823
21;181
32;1697
23;1015
21;3240
31;1391
27;2160
29;16
34;970
27;2918
28;630
26;3154
31;135
34;71
29;1039
29;400
28;2598
29;887
33;2115
23;482
28;516
20;1318
26;1198
24;1015
23;2594
35;257
24;1086
32;370
27;1162
28;1538
19;24
27;2919
32;2959
22;773
25;1187
20;1450
26;1915
18;1165
39;1875
21;3109
27;527
23;1402
25;2325
