Row Labels;Average of Age
Arsenal;25,04
Aston Villa;25,82142857
Bournemouth;24,13793103
Brentford;24
Brighton;24,28125
Chelsea;22,4137931
Crystal Palace;25,37931034
Everton;25,80769231
Fulham;26,69230769
Ipswich Town;25,625
Leicester City;24,77419355
Liverpool;25,58333333
Manchester City;24,93333333
Manchester Utd;24,32258065
Newcastle United;26,625
Nottingham Forest;25,60869565
Southampton;24,77777778
Tottenham Hotspur;23,90322581
West Ham United;26,62962963
Wolves;25,59375
Grand Total;25,04712042
